type	Location	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
X	Global	0.6524	0.6572	0.6616	0.6662	0.6710	0.6759	0.6809	0.6860	0.6913	0.6958	0.6522
X	East Asia	0.6614	0.6697	0.6778	0.6858	0.6938	0.7014	0.7086	0.7155	0.7221	0.7288	0.7086
X	Southeast Asia	0.6100	0.6163	0.6225	0.6293	0.6364	0.6437	0.6511	0.6585	0.6659	0.6723	0.6407
X	Oceania	0.4537	0.4573	0.4609	0.4645	0.4682	0.4722	0.4762	0.4805	0.4851	0.4891	0.4710
X	Central Asia	0.6788	0.6855	0.6910	0.6967	0.7026	0.7081	0.7136	0.7191	0.7242	0.7286	0.6728
X	Central Europe	0.8137	0.8190	0.8235	0.8277	0.8318	0.8356	0.8391	0.8424	0.8458	0.8491	0.8140
X	Eastern Europe	0.7995	0.8064	0.8097	0.8134	0.8166	0.8188	0.8207	0.8233	0.8261	0.8290	0.7854
X	High-income Asia Pacific	0.8642	0.8666	0.8684	0.8706	0.8727	0.8749	0.8771	0.8793	0.8815	0.8838	0.8689
X	Australasia	0.8610	0.8637	0.8674	0.8703	0.8722	0.8751	0.8797	0.8838	0.8866	0.8886	0.8685
X	Western Europe	0.8575	0.8594	0.8613	0.8636	0.8664	0.8691	0.8714	0.8728	0.8743	0.8761	0.8568
X	Southern Latin America	0.7293	0.7337	0.7379	0.7429	0.7487	0.7544	0.7597	0.7642	0.7681	0.7715	0.7202
X	High-income North America	0.8815	0.8854	0.8896	0.8929	0.8947	0.8962	0.8972	0.8983	0.8994	0.8999	0.8682
X	Caribbean	0.6600	0.6631	0.6668	0.6707	0.6749	0.6794	0.6833	0.6876	0.6921	0.6958	0.6376
X	Andean Latin America	0.6251	0.6305	0.6351	0.6396	0.6443	0.6487	0.6529	0.6572	0.6618	0.6662	0.6283
X	Central Latin America	0.6586	0.6651	0.6705	0.6763	0.6824	0.6887	0.6949	0.7009	0.7067	0.7113	0.6232
X	Tropical Latin America	0.6542	0.6604	0.6661	0.6723	0.6786	0.6845	0.6903	0.6965	0.7024	0.7071	0.6621
X	North Africa and Middle East	0.6153	0.6220	0.6279	0.6339	0.6404	0.6470	0.6540	0.6612	0.6685	0.6741	0.6386
X	South Asia	0.4819	0.4909	0.5000	0.5095	0.5193	0.5290	0.5391	0.5495	0.5603	0.5693	0.5340
X	Central Sub-Saharan Africa	0.3449	0.3521	0.3586	0.3662	0.3744	0.3824	0.3884	0.3940	0.4011	0.4063	0.4569
X	Eastern Sub-Saharan Africa	0.3144	0.3214	0.3288	0.3367	0.3451	0.3538	0.3625	0.3712	0.3797	0.3867	0.3871
X	Southern Sub-Saharan Africa	0.6513	0.6564	0.6612	0.6664	0.6720	0.6772	0.6814	0.6850	0.6885	0.6914	0.6400
X	Western Sub-Saharan Africa	0.3637	0.3699	0.3760	0.3828	0.3906	0.3991	0.4073	0.4153	0.4225	0.4278	0.4410
Values	Global	107.0405	106.8155	106.5953	106.3134	106.0087	105.7072	105.3728	105.0378	104.6798	104.3186	103.9139
Values	East Asia	145.5851	145.8856	146.2371	146.4331	146.5358	146.6545	146.7585	146.9025	147.0166	147.1334	147.2387
Values	Southeast Asia	63.7196	63.6757	63.6767	63.6740	63.6553	63.6353	63.6043	63.5564	63.4660	63.3650	63.2708
Values	Oceania	100.8041	100.9727	100.9896	100.9997	101.0276	101.0057	101.1047	101.0644	101.1057	101.0924	101.1057
Values	Central Asia	100.6601	100.6949	100.6586	100.5979	100.6735	100.6552	100.6598	100.6274	100.6133	100.5844	100.5749
Values	Central Europe	83.5805	83.5889	83.6623	83.6926	83.7425	83.8572	83.9029	84.1226	84.2862	84.3830	84.5705
Values	Eastern Europe	189.2084	189.1942	189.3044	189.2848	189.2635	189.1882	189.1147	188.9988	188.8797	188.7200	188.5656
Values	High-income Asia Pacific	245.4966	245.3051	245.1750	245.0645	244.8894	244.7992	244.6719	244.4731	244.3934	244.3075	244.1180
Values	Australasia	170.7852	170.4876	170.3974	170.2020	170.2017	170.0634	170.0706	170.0863	170.1353	170.0764	169.9413
Values	Western Europe	140.8030	140.3844	140.0925	139.8949	139.8810	139.8697	139.8607	139.9646	139.9884	140.1017	140.1878
Values	Southern Latin America	121.3640	121.6490	121.7601	121.7134	121.5867	121.4377	121.0353	120.3779	119.7419	119.0968	118.0990
Values	High-income North America	133.8650	134.1469	134.3556	134.5586	134.6196	134.6963	134.7925	134.8555	134.9100	134.9652	134.9929
Values	Caribbean	48.1477	48.1982	48.2890	48.3400	48.3292	48.2796	48.2793	48.3881	48.3791	48.4337	48.4521
Values	Andean Latin America	47.8080	47.8463	47.9302	48.0175	47.9287	47.9278	47.9634	47.8926	47.8847	47.8497	47.7968
Values	Central Latin America	48.9160	48.9820	49.0403	49.0750	49.0649	49.0566	49.0341	48.9998	48.9545	48.8935	48.8006
Values	Tropical Latin America	55.5570	56.3551	57.1698	57.9008	58.6034	59.4093	60.3809	61.3851	62.5214	63.6758	64.8553
Values	North Africa and Middle East	79.1501	79.0956	79.0338	79.0101	78.9625	78.9774	78.9467	78.9629	78.9183	78.9520	79.0166
Values	South Asia	80.7838	80.6659	80.5891	80.5398	80.5599	80.6262	80.6517	80.6805	80.7448	80.8476	80.9655
Values	Central Sub-Saharan Africa	63.3591	63.4602	63.4624	63.4423	63.4547	63.4036	63.4810	63.4360	63.4221	63.4137	63.3277
Values	Eastern Sub-Saharan Africa	64.8376	64.7915	64.7139	64.7055	64.7219	64.7617	64.7776	64.8157	64.8800	64.9719	65.0461
Values	Southern Sub-Saharan Africa	66.0787	65.9908	65.8871	65.7152	65.6492	65.4934	65.4054	65.3874	65.3409	65.3148	65.3068
Values	Western Sub-Saharan Africa	63.2661	63.1853	63.2329	63.2245	63.2272	63.2317	63.2521	63.3129	63.4083	63.4571	63.5186
